restaurant_name,city,location,cuisine,cost_for_two,rating,restaurant_url,region
Cafe Hawkers,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200,3.8,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cafe-hawkers-connaught-place-cp-central-delhi-640067?deal_types[]=postpaid,North India
DEL,Delhi NCR,"Roseate House, New Delhi",Multicuisine,₹3000,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/del-roseate-house-igi-airport-643862?deal_types[]=postpaid,North India
The Mandi Chowk,Delhi NCR,"Connaught Place (CP), Central Delhi",North Indian,₹1000,4.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-mandi-chowk-connaught-place-cp-central-delhi-703923?deal_types[]=postpaid,North India
The Flying Trunk,Delhi NCR,"Novotel City Centre, Delhi NCR",Asian,₹3500,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-flying-trunk-novotel-city-centre-delhi-ncr-708639?deal_types[]=postpaid,North India
Level 2,Delhi NCR,"Radisson Blu, Paschim Vihar",Indian,₹3000,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/level-2-radisson-blu-paschim-vihar-111462?deal_types[]=postpaid,North India
Grappa,Delhi NCR,Shangri-La Eros New Delhi,Finger Food,₹3000,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/grappa-shangri-la-s-eros-hotel-connaught-place-cp-612519?deal_types[]=postpaid,North India
Cedar Clubhouse,Delhi NCR,"Janpath, Central Delhi","Cocktail Menu, Multicuisine",₹1800,3.6,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cedar-clubhouse-janpath-central-delhi-694524?deal_types[]=postpaid,North India
The Food Store,Delhi NCR,"DoubleTree by Hilton, Gurgaon",Multicuisine,₹3000,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/food-store-double-tree-by-hilton-sector-56-112399?deal_types[]=postpaid,North India
Massala Singh,Delhi NCR,"Connaught Place (CP), Central Delhi","Chinese, North Indian",₹1800,5.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/massala-singh-connaught-place-cp-central-delhi-704853?deal_types[]=postpaid,North India
The Host,Delhi NCR,"Connaught Place (CP), Central Delhi",Indian,₹1600,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-host-connaught-place-111066?deal_types[]=postpaid,North India
Caffé Tonino,Delhi NCR,"Connaught Place (CP), Central Delhi",Italian,₹1000,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/caffe-tonino-connaught-place-new-delhi-121252,North India
